Country Name,Country Code,year,GDP,GDP_per_capita
Germany,DEU,1971,2.49985E+11,3192.133616
France,FRA,1971,1.65967E+11,3169.036323
United Kingdom,GBR,1971,1.48114E+11,2649.801514
India,IND,1971,67350988021,118.6032415
Japan,JPN,1971,2.40152E+11,2272.077802
New Zealand,NZL,1971,7911136757,2772.918597
Russian Federation,RUS,1971,,
United States,USA,1971,1.16485E+12,5609.3826
Australia,AUS,1972,52051401869,3950.170894
Canada,CAN,1972,1.13083E+11,5089.587902
China,CHN,1972,1.13688E+11,131.8835612
Germany,DEU,1972,2.99802E+11,3809.981445
France,FRA,1972,2.03494E+11,3854.555835
United Kingdom,GBR,1972,1.69965E+11,3030.432514
India,IND,1972,71463193831,122.9818641
Japan,JPN,1972,3.18031E+11,2967.041996
New Zealand,NZL,1972,9567331065,3294.648943
Russian Federation,RUS,1972,,
United States,USA,1972,1.27911E+12,6094.01799
Australia,AUS,1973,63844971172,4771.671986
Canada,CAN,1973,1.31322E+11,5838.660894
China,CHN,1973,1.38544E+11,157.0903743
Germany,DEU,1973,3.98374E+11,5046.755103
France,FRA,1973,2.6443E+11,4969.762978
United Kingdom,GBR,1973,1.92538E+11,3426.276221
India,IND,1973,85515269585,143.7786876
Japan,JPN,1973,4.32083E+11,3974.745605
New Zealand,NZL,1973,12802281898,4323.196535
Russian Federation,RUS,1973,,
United States,USA,1973,1.42538E+12,6726.358956
Australia,AUS,1974,88981577008,6484.119872
Canada,CAN,1974,1.60409E+11,7033.011021
China,CHN,1974,1.44182E+11,160.1400937
Germany,DEU,1974,4.45303E+11,5639.077621
France,FRA,1974,2.85552E+11,5328.241548
United Kingdom,GBR,1974,2.06131E+11,3665.862798
India,IND,1974,99525899116,163.4781125
Japan,JPN,1974,4.79626E+11,4353.824355
New Zealand,NZL,1974,13940981798,4610.570426
Russian Federation,RUS,1974,,
United States,USA,1974,1.54524E+12,7225.69136
Australia,AUS,1975,97333060221,7005.906588
Canada,CAN,1975,1.73834E+11,7511.211343
China,CHN,1975,1.63432E+11,178.3418196
Germany,DEU,1975,4.90637E+11,6236.358881
France,FRA,1975,3.60832E+11,6690.57827
United Kingdom,GBR,1975,2.41757E+11,4299.745618
India,IND,1975,98472796457,158.036171
Japan,JPN,1975,5.21542E+11,4674.445481
New Zealand,NZL,1975,12861983284,4171.76974
Russian Federation,RUS,1975,,
United States,USA,1975,1.6849E+12,7801.456664
Australia,AUS,1976,1.05101E+11,7489.59416
Canada,CAN,1976,2.06576E+11,8809.26466
China,CHN,1976,1.5394E+11,165.4055404
Germany,DEU,1976,5.19754E+11,6634.856899
France,FRA,1976,3.72319E+11,6866.816892
United Kingdom,GBR,1976,2.32615E+11,4138.167788
India,IND,1976,1.02717E+11,161.0920922
Japan,JPN,1976,5.86162E+11,5197.622337
New Zealand,NZL,1976,13604832424,4373.840998
Russian Federation,RUS,1976,,
United States,USA,1976,1.87341E+12,8592.253537
Australia,AUS,1977,1.10388E+11,7778.164008
Canada,CAN,1977,2.11612E+11,8919.057461
China,CHN,1977,1.74938E+11,185.4228329
Germany,DEU,1977,6.00498E+11,7682.953775
France,FRA,1977,4.10279E+11,7532.52696
United Kingdom,GBR,1977,2.63066E+11,4681.439932
India,IND,1977,1.21487E+11,186.2135042
Japan,JPN,1977,7.21412E+11,6335.286871
New Zealand,NZL,1977,15446825318,4950.588205
Russian Federation,RUS,1977,,
United States,USA,1977,2.08183E+12,9452.576519
Australia,AUS,1978,1.18536E+11,8255.744543
Canada,CAN,1978,2.18633E+11,9123.691334
China,CHN,1978,1.49541E+11,156.3963885
Germany,DEU,1978,7.4047E+11,9482.04285
France,FRA,1978,5.06708E+11,9264.775293
United Kingdom,GBR,1978,3.35883E+11,5976.938169
India,IND,1978,1.373E+11,205.6933833
Japan,JPN,1978,1.01361E+12,8820.691945
New Zealand,NZL,1978,18530518395,5936.98526
Russian Federation,RUS,1978,,
United States,USA,1978,2.3516E+12,10564.94822
Australia,AUS,1979,1.34941E+11,9297.333417
Canada,CAN,1979,2.43072E+11,10043.66096
China,CHN,1979,1.78281E+11,183.9831522
Germany,DEU,1979,8.81345E+11,11281.02332
France,FRA,1979,6.13953E+11,11179.6329
United Kingdom,GBR,1979,4.38994E+11,7804.762081
India,IND,1979,1.52992E+11,224.0010188
Japan,JPN,1979,1.05501E+12,9103.564756
New Zealand,NZL,1979,20731243113,6668.138666
Russian Federation,RUS,1979,,
United States,USA,1979,2.62733E+12,11674.18187
Australia,AUS,1980,1.50032E+11,10211.83719
Canada,CAN,1980,2.73854E+11,11170.56397
China,CHN,1980,1.91149E+11,194.8047222
Germany,DEU,1980,9.50291E+11,12138.3081
France,FRA,1980,7.01288E+11,12713.36517
United Kingdom,GBR,1980,5.64948E+11,10032.06208
India,IND,1980,1.86325E+11,266.5778508
Japan,JPN,1980,1.10539E+12,9463.353855
New Zealand,NZL,1980,23244547385,7467.168038
Russian Federation,RUS,1980,,
United States,USA,1980,2.85731E+12,12574.79151
Australia,AUS,1981,1.76953E+11,11854.5885
Canada,CAN,1981,3.06215E+11,12337.46625
China,CHN,1981,1.95866E+11,197.0714745
Germany,DEU,1981,8.00472E+11,10209.07312
France,FRA,1981,6.15552E+11,11104.98134
United Kingdom,GBR,1981,5.40766E+11,9599.306222
India,IND,1981,1.93491E+11,270.4706009
Japan,JPN,1981,1.21899E+12,10360.17827
New Zealand,NZL,1981,24417617184,7813.887543
Russian Federation,RUS,1981,,
United States,USA,1981,3.20704E+12,13976.10539
Australia,AUS,1982,1.94105E+11,12788.54929
Canada,CAN,1982,3.13507E+11,12481.87479
China,CHN,1982,2.0509E+11,203.3349195
Germany,DEU,1982,7.76576E+11,9913.737642
France,FRA,1982,5.84878E+11,10496.92855
United Kingdom,GBR,1982,5.15049E+11,9146.077357
India,IND,1982,2.00715E+11,274.1113337
Japan,JPN,1982,1.13452E+12,9575.607713
New Zealand,NZL,1982,24164603059,7656.475732
Russian Federation,RUS,1982,,
United States,USA,1982,3.34379E+12,14433.78773
Australia,AUS,1983,1.77334E+11,11538.39842
Canada,CAN,1983,3.40548E+11,13425.12249
China,CHN,1983,2.30687E+11,225.4319289
Germany,DEU,1983,7.70684E+11,9864.34494
France,FRA,1983,5.59869E+11,9993.421182
United Kingdom,GBR,1983,4.89618E+11,8691.518813
India,IND,1983,2.18262E+11,291.2381101
Japan,JPN,1983,1.24332E+12,10421.21244
New Zealand,NZL,1983,24309279706,7598.312039
Russian Federation,RUS,1983,,
United States,USA,1983,3.63404E+12,15543.89372
Australia,AUS,1984,1.93594E+11,12454.55172
Canada,CAN,1984,3.55373E+11,13877.91708
China,CHN,1984,2.59947E+11,250.713969
Germany,DEU,1984,7.25111E+11,9313.169412
France,FRA,1984,5.30684E+11,9419.696143
United Kingdom,GBR,1984,4.61487E+11,8179.194441
India,IND,1984,2.12158E+11,276.6679583
Japan,JPN,1984,1.31838E+12,10978.91981
New Zealand,NZL,1984,21665975319,6713.760131
Russian Federation,RUS,1984,,
United States,USA,1984,4.03761E+12,17121.22548
Australia,AUS,1985,1.80574E+11,11459.17957
Canada,CAN,1985,3.64756E+11,14114.80776
China,CHN,1985,3.09488E+11,294.4588485
Germany,DEU,1985,7.32535E+11,9429.569217
France,FRA,1985,5.53138E+11,9763.327404
United Kingdom,GBR,1985,4.89285E+11,8652.216542
India,IND,1985,2.32512E+11,296.43515
Japan,JPN,1985,1.39889E+12,11576.69211
New Zealand,NZL,1985,24679795396,7600.565242
Russian Federation,RUS,1985,,
United States,USA,1985,4.33898E+12,18236.82773
Australia,AUS,1986,1.82368E+11,11384.93824
Canada,CAN,1986,3.77438E+11,14461.06924
China,CHN,1986,3.00758E+11,281.9281209
Germany,DEU,1986,1.04626E+12,13461.831
France,FRA,1986,7.71471E+11,13540.24637
United Kingdom,GBR,1986,6.01453E+11,10611.11221
India,IND,1986,2.48986E+11,310.4659328
Japan,JPN,1986,2.07895E+12,17113.26232
New Zealand,NZL,1986,30604668357,9427.55394
Russian Federation,RUS,1986,,
United States,USA,1986,4.57963E+12,19071.22719
Australia,AUS,1987,1.894E+11,11645.45259
Canada,CAN,1987,4.31317E+11,16308.96697
China,CHN,1987,2.72973E+11,251.811957
Germany,DEU,1987,1.29818E+12,16677.51079
France,FRA,1987,9.34173E+11,16302.44738
United Kingdom,GBR,1987,7.45163E+11,13118.58653
India,IND,1987,2.79034E+11,340.4168345
Japan,JPN,1987,2.53281E+12,20748.99092
New Zealand,NZL,1987,40376354070,12330.91683
Russian Federation,RUS,1987,,
United States,USA,1987,4.85522E+12,20038.9411
Australia,AUS,1988,2.36066E+11,14279.15944
Canada,CAN,1988,5.07354E+11,18936.9641
China,CHN,1988,3.12354E+11,283.5376952
Germany,DEU,1988,1.40123E+12,17931.28232
France,FRA,1988,1.01885E+12,17679.99669
United Kingdom,GBR,1988,9.10123E+11,15987.16808
India,IND,1988,2.96589E+11,354.1492482
Japan,JPN,1988,3.07168E+12,25059.00743
New Zealand,NZL,1988,45176811594,13759.15563
Russian Federation,RUS,1988,5.54713E+11,3777.235352
United States,USA,1988,5.23644E+12,21417.01193
Australia,AUS,1989,2.99768E+11,17828.04823
Canada,CAN,1989,5.65056E+11,20715.63148
China,CHN,1989,3.47768E+11,310.8819124
Germany,DEU,1989,1.39897E+12,17764.37645
France,FRA,1989,1.02521E+12,17694.30932
United Kingdom,GBR,1989,9.26885E+11,16239.2822
India,IND,1989,2.96042E+11,346.1128885
Japan,JPN,1989,3.05491E+12,24822.77557
New Zealand,NZL,1989,43920222525,13312.38559
Russian Federation,RUS,1989,5.065E+11,3428.762207
United States,USA,1989,5.64158E+12,22857.15443
Australia,AUS,1990,3.11327E+11,18243.47142
Canada,CAN,1990,5.9393E+11,21448.36196
China,CHN,1990,3.60858E+11,317.884673
Germany,DEU,1990,1.77167E+12,22303.96133
France,FRA,1990,1.26918E+12,21793.83554
United Kingdom,GBR,1990,1.09317E+12,19095.467
India,IND,1990,3.20979E+11,367.5566089
Japan,JPN,1990,3.13282E+12,25371.46417
New Zealand,NZL,1990,45495129385,13663.02162
Russian Federation,RUS,1990,5.16814E+11,3492.710205
United States,USA,1990,5.96314E+12,23888.60001
Australia,AUS,1991,3.25903E+11,18855.762
Canada,CAN,1991,6.10328E+11,21768.34329
China,CHN,1991,3.83373E+11,333.1421454
Germany,DEU,1991,1.86895E+12,23357.75773
France,FRA,1991,1.26928E+12,21675.06499
United Kingdom,GBR,1991,1.1428E+12,19900.72665
India,IND,1991,2.70105E+11,303.0556077
Japan,JPN,1991,3.58442E+12,28915.0082
New Zealand,NZL,1991,42745329732,12230.07345
Russian Federation,RUS,1991,5.17963E+11,3490.452393
United States,USA,1991,6.15813E+12,24342.2589
Australia,AUS,1992,3.2548E+11,18604.18827
Canada,CAN,1992,5.92388E+11,20879.84833
China,CHN,1992,4.26916E+11,366.4606923
Germany,DEU,1992,2.13157E+12,26438.23039
France,FRA,1992,1.40147E+12,23813.71225
United Kingdom,GBR,1992,1.17966E+12,20487.17079
India,IND,1992,2.88208E+11,316.9539272
Japan,JPN,1992,3.90881E+12,31414.98464
New Zealand,NZL,1992,41649829860,11793.13924
Russian Federation,RUS,1992,4.60291E+11,3098.802734
United States,USA,1992,6.52033E+12,25418.99078
Australia,AUS,1993,3.12126E+11,17667.1871
Canada,CAN,1993,5.77171E+11,20121.16125
China,CHN,1993,4.44731E+11,377.3898395
Germany,DEU,1993,2.07132E+12,25522.62957
France,FRA,1993,1.32282E+12,22380.10775
United Kingdom,GBR,1993,1.06139E+12,18389.01957
India,IND,1993,2.79296E+11,301.1590023
Japan,JPN,1993,4.45414E+12,35681.96394
New Zealand,NZL,1993,46775620817,13094.34545
Russian Federation,RUS,1993,4.35084E+11,2930.670166
United States,USA,1993,6.85856E+12,26387.29373
Australia,AUS,1994,3.22807E+11,18079.38018
Canada,CAN,1994,5.78139E+11,19935.38146
China,CHN,1994,5.64325E+11,473.4922787
Germany,DEU,1994,2.20507E+12,27076.60675
France,FRA,1994,1.39398E+12,23496.52015
United Kingdom,GBR,1994,1.14049E+12,19709.2381
India,IND,1994,3.27276E+11,346.1029514
Japan,JPN,1994,4.9988E+12,39933.51506
New Zealand,NZL,1994,55314732279,15280.31278
Russian Federation,RUS,1994,3.95077E+11,2662.104004
United States,USA,1994,7.28724E+12,27694.85342
Australia,AUS,1995,3.67916E+11,20358.33336
Canada,CAN,1995,6.04032E+11,20613.78788
China,CHN,1995,7.34548E+11,609.6566792
Germany,DEU,1995,2.58579E+12,31658.34938
France,FRA,1995,1.60109E+12,26890.21762
United Kingdom,GBR,1995,1.34642E+12,23206.56856
India,IND,1995,3.60282E+11,373.7664808
Japan,JPN,1995,5.54556E+12,44197.6191
New Zealand,NZL,1995,63918703507,17400.42018
Russian Federation,RUS,1995,3.95537E+11,2665.779785
United States,USA,1995,7.63975E+12,28690.8757
Australia,AUS,1996,4.0109E+11,21904.29412
Canada,CAN,1996,6.28546E+11,21227.34753
China,CHN,1996,8.63747E+11,709.4137551
Germany,DEU,1996,2.49724E+12,30485.86655
France,FRA,1996,1.60568E+12,26871.83127
United Kingdom,GBR,1996,1.42151E+12,24438.53117
India,IND,1996,3.92897E+11,399.9500747
Japan,JPN,1996,4.92339E+12,39150.03963
New Zealand,NZL,1996,70140835299,18794.43604
Russian Federation,RUS,1996,3.91725E+11,2643.929199
United States,USA,1996,8.07312E+12,29967.71272
Australia,AUS,1997,4.35324E+11,23509.42347
Canada,CAN,1997,6.54987E+11,21901.56285
China,CHN,1997,9.61604E+11,781.7441643
Germany,DEU,1997,2.21199E+12,26964.04947
France,FRA,1997,1.45288E+12,24228.94639
United Kingdom,GBR,1997,1.55957E+12,26742.98485
India,IND,1997,4.15868E+11,415.4937978
Japan,JPN,1997,4.49245E+12,35638.23196
New Zealand,NZL,1997,66075143415,17474.18703
Russian Federation,RUS,1997,4.04929E+11,2737.572021
United States,USA,1997,8.57755E+12,31459.13898
Australia,AUS,1998,3.99404E+11,21345.97099
Canada,CAN,1998,6.34E+11,21024.58507
China,CHN,1998,1.02904E+12,828.5804793
Germany,DEU,1998,2.23899E+12,27289.05936
France,FRA,1998,1.50311E+12,24974.27386
United Kingdom,GBR,1998,1.65339E+12,28269.32251
India,IND,1998,4.21351E+11,413.2989322
Japan,JPN,1998,4.09836E+12,32423.75561
New Zealand,NZL,1998,56227169851,14738.44557
Russian Federation,RUS,1998,2.70955E+11,1834.861816
United States,USA,1998,9.06282E+12,32853.67695
Australia,AUS,1999,3.89099E+11,20558.9604
Canada,CAN,1999,6.78412E+11,22315.24667
China,CHN,1999,1.094E+12,873.2870617
Germany,DEU,1999,2.19495E+12,26734.94254
France,FRA,1999,1.49315E+12,24681.53701
United Kingdom,GBR,1999,1.68576E+12,28726.85721
India,IND,1999,4.5882E+11,441.9987604
Japan,JPN,1999,4.63598E+12,36610.16832
New Zealand,NZL,1999,58762260626,15322.22383
Russian Federation,RUS,1999,1.95907E+11,1330.757202
United States,USA,1999,9.63117E+12,34515.39023
Australia,AUS,2000,4.15576E+11,21697.70848
Canada,CAN,2000,7.44773E+11,24271.00206
China,CHN,2000,1.21135E+12,959.3724836
Germany,DEU,2000,1.94798E+12,23694.76048
France,FRA,2000,1.36564E+12,22419.69482
United Kingdom,GBR,2000,1.66213E+12,28223.06757
India,IND,2000,4.68395E+11,443.3141938
Japan,JPN,2000,4.96836E+12,39169.35957
New Zealand,NZL,2000,52623281957,13641.10272
Russian Federation,RUS,2000,2.5971E+11,1771.594116
United States,USA,2000,1.02509E+13,36329.95607
Australia,AUS,2001,3.79084E+11,19527.32358
Canada,CAN,2001,7.38982E+11,23822.06012
China,CHN,2001,1.3394E+12,1053.108243
Germany,DEU,2001,1.94579E+12,23628.32721
France,FRA,2001,1.37766E+12,22452.98238
United Kingdom,GBR,2001,1.64391E+12,27806.44882
India,IND,2001,4.85441E+11,451.5729973
Japan,JPN,2001,4.37471E+12,34406.18246
New Zealand,NZL,2001,53872425917,13882.85683
Russian Federation,RUS,2001,3.06602E+11,2100.352539
United States,USA,2001,1.05819E+13,37133.62311
Australia,AUS,2002,3.95343E+11,20117.78889
Canada,CAN,2002,7.60649E+11,24255.33858
China,CHN,2002,1.47055E+12,1148.50829
Germany,DEU,2002,2.07848E+12,25197.2656
France,FRA,2002,1.50141E+12,24292.58023
United Kingdom,GBR,2002,1.78408E+12,30049.89632
India,IND,2002,5.14938E+11,470.9867868
Japan,JPN,2002,4.18285E+12,32820.79364
New Zealand,NZL,2002,66627729311,16874.18749
Russian Federation,RUS,2002,3.4547E+11,2377.529541
United States,USA,2002,1.09291E+13,37997.75966
Australia,AUS,2003,4.67391E+11,23492.40517
Canada,CAN,2003,8.95541E+11,28300.4631
China,CHN,2003,1.66029E+12,1288.643252
Germany,DEU,2003,2.50164E+12,30310.3576
France,FRA,2003,1.84454E+12,29633.67898
United Kingdom,GBR,2003,2.05709E+12,34487.46757
India,IND,2003,6.07699E+11,546.7266135
Japan,JPN,2003,4.51956E+12,35387.03742
New Zealand,NZL,2003,88250885550,21913.70817
Russian Federation,RUS,2003,4.30348E+11,2975.125244
United States,USA,2003,1.14564E+13,39490.27496
Australia,AUS,2004,6.14166E+11,30513.94174
Canada,CAN,2004,1.02669E+12,32143.68141
China,CHN,2004,1.95535E+12,1508.668098
Germany,DEU,2004,2.81435E+12,34106.65812
France,FRA,2004,2.11963E+12,33803.3096
United Kingdom,GBR,2004,2.42181E+12,40371.71083
India,IND,2004,7.09149E+11,627.7742417
Japan,JPN,2004,4.89312E+12,38298.98017
New Zealand,NZL,2004,1.03905E+11,25420.23488
Russian Federation,RUS,2004,5.91017E+11,4102.364746
United States,USA,2004,1.22172E+13,41724.63163
Australia,AUS,2005,6.95075E+11,34080.9999
Canada,CAN,2005,1.17311E+12,36382.50792
China,CHN,2005,2.28597E+12,1753.417829
Germany,DEU,2005,2.84686E+12,34520.23965
France,FRA,2005,2.19695E+12,34773.15015
United Kingdom,GBR,2005,2.54483E+12,42132.09072
India,IND,2005,8.20382E+11,714.8610154
Japan,JPN,2005,4.83147E+12,37812.89502
New Zealand,NZL,2005,1.1472E+11,27751.06547
Russian Federation,RUS,2005,7.64017E+11,5323.462891
United States,USA,2005,1.30392E+13,44123.40707
Australia,AUS,2006,7.47556E+11,36117.48798
Canada,CAN,2006,1.31926E+12,40504.06073
China,CHN,2006,2.75213E+12,2099.229435
Germany,DEU,2006,2.9947E+12,36353.88033
France,FRA,2006,2.32054E+12,36474.15959
United Kingdom,GBR,2006,2.71706E+12,44654.09692
India,IND,2006,9.4026E+11,806.7532806
Japan,JPN,2006,4.60166E+12,35991.546
New Zealand,NZL,2006,1.11539E+11,26654.5932
Russian Federation,RUS,2006,9.89931E+11,6920.188965
United States,USA,2006,1.38156E+13,46302.00088
Australia,AUS,2007,8.53955E+11,41001.14298
Canada,CAN,2007,1.46882E+12,44659.89514
China,CHN,2007,3.55034E+12,2693.970063
Germany,DEU,2007,3.42558E+12,41640.08087
France,FRA,2007,2.66059E+12,41561.20051
United Kingdom,GBR,2007,3.10618E+12,50653.25691
India,IND,2007,1.21674E+12,1028.334772
Japan,JPN,2007,4.57975E+12,35779.02454
New Zealand,NZL,2007,1.37189E+11,32479.98174
Russian Federation,RUS,2007,1.29971E+12,9101.254883
United States,USA,2007,1.44742E+13,48050.22378
Australia,AUS,2008,1.05513E+12,49654.9106
Canada,CAN,2008,1.55299E+12,46710.50558
China,CHN,2008,4.59431E+12,3468.304602
Germany,DEU,2008,3.74526E+12,45612.71062
France,FRA,2008,2.9303E+12,45519.29688
United Kingdom,GBR,2008,2.93888E+12,47549.34863
India,IND,2008,1.1989E+12,998.5223415
Japan,JPN,2008,5.10668E+12,39876.30397
New Zealand,NZL,2008,1.33131E+11,31252.96256
Russian Federation,RUS,2008,1.66085E+12,11635.27246
United States,USA,2008,1.47699E+13,48570.04598
Australia,AUS,2009,9.28043E+11,42783.32257
Canada,CAN,2009,1.37463E+12,40876.31015
China,CHN,2009,5.1017E+12,3832.236432
Germany,DEU,2009,3.41126E+12,41650.36783
France,FRA,2009,2.70089E+12,41740.24303
United Kingdom,GBR,2009,2.4258E+12,38952.21103
India,IND,2009,1.34189E+12,1101.960838
Japan,JPN,2009,5.28949E+12,41308.99684
New Zealand,NZL,2009,1.21374E+11,28209.36233
Russian Federation,RUS,2009,1.22264E+12,8562.813477
United States,USA,2009,1.44781E+13,47194.94335
Australia,AUS,2010,1.14759E+12,52087.97229
Canada,CAN,2010,1.61734E+12,47562.08343
China,CHN,2010,6.08716E+12,4550.453108
Germany,DEU,2010,3.39967E+12,41572.45595
France,FRA,2010,2.64519E+12,40677.98514
United Kingdom,GBR,2010,2.49111E+12,39688.61497
India,IND,2010,1.67562E+12,1357.563727
Japan,JPN,2010,5.75907E+12,44968.15623
New Zealand,NZL,2010,1.46518E+11,33676.77412
Russian Federation,RUS,2010,1.52492E+12,10674.99609
United States,USA,2010,1.5049E+13,48650.64313
Australia,AUS,2011,1.39791E+12,62574.1457
Canada,CAN,2011,1.79333E+12,52223.69611
China,CHN,2011,7.5515E+12,5614.352135
Germany,DEU,2011,3.74931E+12,46705.8958
France,FRA,2011,2.86516E+12,43848.10605
United Kingdom,GBR,2011,2.67489E+12,42284.88449
India,IND,2011,1.82305E+12,1458.104066
Japan,JPN,2011,6.23315E+12,48760.07895
New Zealand,NZL,2011,1.68291E+11,38387.62708
Russian Federation,RUS,2011,2.04593E+12,14311.08398
United States,USA,2011,1.55997E+13,50065.9665
Australia,AUS,2012,1.54651E+12,68027.84171
Canada,CAN,2012,1.82837E+12,52669.08996
China,CHN,2012,8.53223E+12,6300.615118
Germany,DEU,2012,3.52714E+12,43855.85447
France,FRA,2012,2.68367E+12,40872.36246
United Kingdom,GBR,2012,2.71916E+12,42686.80005
India,IND,2012,1.82764E+12,1443.882435
Japan,JPN,2012,6.27236E+12,49145.28043
New Zealand,NZL,2012,1.76207E+11,39973.38076
Russian Federation,RUS,2012,2.2083E+12,15420.875
United States,USA,2012,1.6254E+13,51784.41857
Australia,AUS,2013,1.57634E+12,68156.62792
Canada,CAN,2013,1.8466E+12,52635.17496
China,CHN,2013,9.57041E+12,7020.338485
Germany,DEU,2013,3.7338E+12,46298.92292
France,FRA,2013,2.81188E+12,42605.04438
United Kingdom,GBR,2013,2.80329E+12,43713.81412
India,IND,2013,1.85672E+12,1449.610451
Japan,JPN,2013,5.21233E+12,40898.6479
New Zealand,NZL,2013,1.90907E+11,42976.64959
Russian Federation,RUS,2013,2.29247E+12,15974.64453
